"","address","latitude","longitude"
"77","Frohbühlstrasse 2, 8052  Zürich, Switzerland",47.4276325,8.55189391750184
"78","Schärenmoosstrasse 76, 8052  Zürich, Switzerland",47.4185797,8.55646613964166
"79","Buchholzstrasse 104, 8053  Zürich, Switzerland",47.36036975,8.58845014620128
"80","Buchholzstrasse 94, 8053  Zürich, Switzerland",47.36065535,8.58798897155315
"81","Schweighofstrasse 430, 8055  Zürich, Switzerland",47.3685148,8.501556
"82","Gutstrasse 158 160 162, 8055  Zürich, Switzerland",47.370655,8.5088191
"83","Gutstrasse 178 180 182, 8055  Zürich, Switzerland",47.370655,8.5088191
"84","Schweighofstrasse 412, 8055  Zürich, Switzerland",47.3677217,8.50211910764251
"85","Schweighofstrasse 412, 8055  Zürich, Switzerland",47.3677217,8.50211910764251
"86","Bucheggstrasse 162, 8057  Zürich, Switzerland",47.39870505,8.54088815611522
"87","Wehntalerstrasse 90/92, 8057  Zürich, Switzerland",47.3969096,8.5408947
"88","Winterthurerstrasse 300, 8057  Zürich, Switzerland",47.4028498,8.55509334463358
"89","Blütenstrasse 2, 8057  Zürich, Switzerland",47.4047856,8.54789089582779
"90","Turbinenstrasse 60, 8005  Zürich, Switzerland",47.3871099,8.512941603636
"91","Kurfirstenstrasse 61, 8002  Zürich, Switzerland",47.35296115,8.52873932441501
"92","Schulhausstrasse, 14, 8002  Zürich, Switzerland",47.3620228,8.5302135
"93","Werdstrasse, 8003  Zürich, Switzerland",47.3727417,8.5300829
"94","8004  Zürich, Switzerland",47.3770500505787,8.52236616271608
"95","Zypressenstrasse, 82, 8004  Zürich, Switzerland",47.3804915,8.5172675
"96","8006  Zürich, Switzerland",47.3861987598469,8.54503384211701
"97","Hotzestrasse, 8006  Zürich, Switzerland",47.3907615,8.5409587
"98","Scheuchzerstrasse 77, 8006  Zürich, Switzerland",47.3871254,8.544436
"99","Pfirsichstrasse, 8006  Zürich, Switzerland",47.3898174,8.5373297
"100","Zimmergasse 10, 8008  Zürich, Switzerland",47.3628932,8.5509125
"101","8032  Zürich, Switzerland",47.366731258805,8.56194358855181
"102","Albisstrasse 95, 8038  Zürich, Switzerland",47.3395848,8.5302401
"103","Seestrasse, 293, 8038  Zürich, Switzerland",47.3496106,8.53263322406422
"104","Rüdigerstrasse 11, 8045  Zürich, Switzerland",47.360338,8.52126967064505
"105","Eulenweg 27, 8048  Zürich, Switzerland",47.3835106,8.48145638277899
"106","Berninastrasse 58, 8057 Zurigo1 ½ Zimmer-Wohnung in  Zürich, Switzerland",NA,NA
"107","1CHF 30.–Münsterhof 11, 8001  Zürich, Switzerland",NA,NA
"108","Häringstrasse 13, 8001  Zürich, Switzerland",47.3750722,8.54491813358525
"109","Hornergasse 15, 8001  Zürich, Switzerland",47.3742146,8.5359724
"110","Hirschengraben 3, 8001  Zürich, Switzerland",47.3695019,8.54755409107505
"111","Weite Gasse 6, 8001  Zürich, Switzerland",47.3684632,8.54529581652951
"112","5CHF 350.–Zähringestrasse 36, 8001  Zürich, Switzerland",NA,NA
"113","Wettingerwies 7, 8001  Zürich, Switzerland",47.3693676,8.5495277
"114","Weite G. 6, 8001  Zürich, Switzerland",47.3684725,8.5450977
"115","Frankengasse 11, 8001  Zürich, Switzerland",47.3697877,8.5455254
