"","country","country_name","type","level","2016","2017","2018"
"107","PT","Portugal","Imports","Total",4616,5505.732,5668
"108","PT","Portugal","Exports","Total",9701,8189.704,8326
"109","PT","Portugal","Energy absorbed by pumping","Total",1520,2223.899,1565
"110","PT","Portugal","Energy supplied","Total",52257.052,52761.107,53862
"111","RO","Romania","Total net production","Total",60256,59355.43,58722
"112","RO","Romania","Imports","Total",4177,4841.754,3695
"113","RO","Romania","Exports","Total",9194,7735.38,6239
"114","RO","Romania","Energy absorbed by pumping","Total",660,466.424,0
"115","RO","Romania","Energy supplied","Total",54579,55995.38,56178
"116","SI","Slovenia","Total net production","Total",15546,15396.876,15284.254
"117","SI","Slovenia","Imports","Total",8359,9132.532,8930.238
"118","SI","Slovenia","Exports","Total",9535,9648.192,9432.404
"119","SI","Slovenia","Energy absorbed by pumping","Total",373,365.3,252.435
"120","SI","Slovenia","Energy supplied","Total",13997,14515.916,14529.653
"121","SK","Slovakia","Total net production","Total",24997,25692,23717
"122","SK","Slovakia","Imports","Total",13249,15563,12427
"123","SK","Slovakia","Exports","Total",10598,12535,8746
"124","SK","Slovakia","Energy absorbed by pumping","Total",334,418,401
"125","SK","Slovakia","Energy supplied","Total",27314,28302,26997
"126","FI","Finland","Total net production","Total",66200,65038,67423.674
"127","FI","Finland","Imports","Total",22110,22204,22548
"128","FI","Finland","Exports","Total",3159,1779,2611
"129","FI","Finland","Energy absorbed by pumping","Total",0,0,0
"130","FI","Finland","Energy supplied","Total",85151,85463,87360.674
"131","SE","Sweden","Total net production","Total",152531,160526,158287.088
"132","SE","Sweden","Imports","Total",14287,11896,14441.815
"133","SE","Sweden","Exports","Total",26022,30888,31671.103
"134","SE","Sweden","Energy absorbed by pumping","Total",170,36,56.301
"135","SE","Sweden","Energy supplied","Total",140626,141498,141001.499
"136","UK",NA,"Total net production","Total",324274.434,323439.536,317375.629
"137","UK",NA,"Imports","Total",20017.923,18166.98,21332.415
"138","UK",NA,"Exports","Total",2272.866,3407.049,2224.764
"139","UK",NA,"Energy absorbed by pumping","Total",4014.34,3859.19,3390.866
"140","UK",NA,"Energy supplied","Total",338005.151,334340.277,333092.414
"141","NO","Norway","Total net production","Total",149067,148642,146845.187
"142","NO","Norway","Imports","Total",5740,6111,8339.724
"143","NO","Norway","Exports","Total",22151,21276,18488.911
"144","NO","Norway","Energy absorbed by pumping","Total",1427,1653,1021.492
"145","NO","Norway","Energy supplied","Total",131229,131824,135674.508
"146","ME","Montenegro","Total net production","Total",3023,2363.8,3743
"147","ME","Montenegro","Imports","Total",1210,1536.9,7106
"148","ME","Montenegro","Exports","Total",906,416.7,868
"149","ME","Montenegro","Energy absorbed by pumping","Total",0,0,0
"150","ME","Montenegro","Energy supplied","Total",3327,3484,9981
"151","MK","North Macedonia","Total net production","Total",5284.253,5226.865,5203.736
"152","MK","North Macedonia","Imports","Total",2190.606,2293.571,7261.253
"153","MK","North Macedonia","Exports","Total",159.853,311.026,5341.489
"154","MK","North Macedonia","Energy absorbed by pumping","Total",0,0,0
"155","MK","North Macedonia","Energy supplied","Total",7315.006,7209.41,7123.5
"156","AL","Albania","Total net production","Total",7136,4497.807,8596.537
"157","AL","Albania","Imports","Total",0,2914.628,1771.742
"158","AL","Albania","Exports","Total",42,0,2685.047
"159","AL","Albania","Energy absorbed by pumping","Total",0,0,0
"160","AL","Albania","Energy supplied","Total",7094,7412.435,7683.232
"161","RS","Serbia","Total net production","Total",36628,34298.552,35241.186
"162","RS","Serbia","Imports","Total",5068,6549.189,6400.007
"163","RS","Serbia","Exports","Total",6990,5724.139,6293.513
"164","RS","Serbia","Energy absorbed by pumping","Total",1029,938.05,1067.938
"165","RS","Serbia","Energy supplied","Total",33677,34185.552,34279.742
"166","TR","Turkey","Total net production","Total",261937,284257.519,289282.578
"167","TR","Turkey","Imports","Total",6330,2728.268,2466.008
"168","TR","Turkey","Exports","Total",1452,3303.673,3073.58
"169","TR","Turkey","Energy absorbed by pumping","Total",0,0,0
"170","TR","Turkey","Energy supplied","Total",266815,283682.114,288675.006
"171","BA","Bosnia & Herzegovina","Total net production","Total",16609,15239,7502.427
"172","BA","Bosnia & Herzegovina","Imports","Total",3084,3346,1487.586
"173","BA","Bosnia & Herzegovina","Exports","Total",6841,5187,3820.822
"174","BA","Bosnia & Herzegovina","Energy absorbed by pumping","Total",0,266,50.591
"175","BA","Bosnia & Herzegovina","Energy supplied","Total",12852,13132,5118.6
"176","UA","Ukraine","Total net production","Total",151889,144905.8,159072.5
"177","UA","Ukraine","Imports","Total",77,50,1587
"178","UA","Ukraine","Exports","Total",3830,5226,4639.3
"179","UA","Ukraine","Energy absorbed by pumping","Total",1633,1574.2,0
"180","UA","Ukraine","Energy supplied","Total",146503,138155.6,156020.2
"181","GE","Georgia","Total net production","Total",11365,11315.8,12148.514
"182","GE","Georgia","Imports","Total",1329,1751.2,1522.2
"183","GE","Georgia","Exports","Total",1409,939.7,602.038
"184","GE","Georgia","Energy absorbed by pumping","Total",0,0,214.946
"185","GE","Georgia","Energy supplied","Total",11285,12127.3,12853.73
